dept,avg_salary,max_salary,min_salary
ADMIN HEARNG,82161.0,99624.00,100620.00
ANIMAL CONTRL,70037.5238095,99684.00,
AVIATION,78519.6808919,99624.00,
BOARD OF ELECTION,52961.9722222,95916.00,102840.00
BOARD OF ETHICS,99553.5,96564.00,124056.00
BUDGET & MGMT,101760.585366,99624.00,
BUILDINGS,104549.261264,99684.00,100318.44
BUSINESS AFFAIRS,83502.0731707,96696.00,
CITY CLERK,72633.9886957,96564.00,
CITY COUNCIL,67750.2277814,98508.00,
COPA,80993.9032258,99684.00,101232.00
CULTURAL AFFAIRS,89172.0,96096.00,
DISABILITIES,88188.8888889,96564.00,104712.00
DoIT,106247.515152,99684.00,101196.00
FAMILY & SUPPORT,83436.7572816,99624.00,
FINANCE,74607.3997753,99684.00,
FIRE,97965.9489873,99846.00,
FLEET & FACILITY MANAGEMENT,86289.2182857,99624.00,
HEALTH,88743.7881356,99684.00,
HOUSING,89347.9322034,99684.00,101232.00
HUMAN RELATIONS,93608.0,98628.00,102636.00
HUMAN RESOURCES,83509.35,99684.00,101232.00
INSPECTOR GEN,86524.0481928,94848.00,104712.00
LAW,90802.9209809,99624.00,
LICENSE APPL COMM,88044.0,88044.00,88044.00
MAYOR'S OFFICE,96674.8656716,95004.00,
OEMC,76547.530363,99828.00,
PLANNING AND DEVELOPMENT,90029.7218543,99624.00,
POLICE,86449.03101,98184.00,
POLICE BOARD,89784.0,70608.00,108960.00
PROCUREMENT,87569.2048193,96564.00,
PUBLIC LIBRARY,73705.8803419,99684.00,
STREETS & SAN,87341.4480712,96564.00,
TRANSPORTN,92741.9278803,99684.00,
TREASURER,91024.0434783,96360.00,
WATER MGMNT,94559.9299174,99684.00,
